"c[trans]" "c[com]" "c[circ]" "c[rep+]" "c[rep-]" "c[pack]" "com[max]" "rep[max]" "c[3A]" "c[stay]" "scaler" "var c[trans]" " var c[com]" "var c[circ]" "var c[rep+]" "var c[rep-]" "var c[pack]" "var com[max]" "var rep[max]" "var c[3A]" "var c[stay]" "var scaler" "ly gamma shape" "lag" "ly gamma rate" "lag var"
4.685585 -8.067375 0.09043389 13.92171 13.89194 -6.290505 13.58079 3.043811 9.511755 0.4984068 4.48052e-05 0.9857607 0.7271461 0.610777 0.2851087 0.9912905 0.238245 0.7669217 0.8925153 0.7735387 0.4089703 0.09351413 46.27334 2.10084 2.473375 0.7948529
3.319633 -1.773465 0.9420893 -2.114953 2.236036 -5.655268 17.77623 3.176163 8.539062 0.5018675 8.736975e-05 0.9172144 0.258609 0.839205 0.967219 0.9848009 0.2897202 0.6011528 0.1839862 0.8269278 0.4012965 0.6631814 45.39995 4.870978 2.688342 4.692989
3.360184 -2.893757 -4.066553 -3.92555 0.918808 -2.160564 4.336805 5.191864 8.242739 0.4348223 5.032692e-05 0.4964129 0.9574395 0.799408 0.2875183 0.7068872 0.5395253 0.2248045 0.5306738 0.4098503 0.3459413 0.9019415 31.02986 0.4196506 1.84247 4.444422
3.41537 -5.913057 -3.331447 -0.292022 12.84408 -7.893153 14.27496 4.333844 7.600053 0.7495936 9.24709e-05 0.2101273 0.211165 0.05570373 0.3848293 0.8371398 0.476242 0.2968964 0.6949194 0.722568 0.07899735 0.4732891 41.109 3.32932 2.837395 2.344672
3.135789 -5.72599 -4.451369 2.802862 19.88572 -6.92164 12.01133 3.684508 8.015601 0.4089608 7.220333e-05 0.8039979 0.9679757 0.338588 0.4232986 0.3075011 0.2461134 0.5668305 0.2558003 0.313094 0.3495708 0.1874023 47.36621 1.311397 3.276622 2.745494
0.5246183 -8.709586 -4.435204 -0.8456758 7.979462 -5.091509 19.71644 5.858989 5.355679 0.4408776 9.061091e-05 0.1147309 0.8931611 0.9240638 0.3060865 0.5894198 0.7768371 0.5258278 0.1400928 0.5811589 0.05587897 0.5494397 44.29721 2.497328 3.18039 2.762775
2.403674 -4.659128 -7.902849 15.40313 10.58483 -7.413823 13.18222 5.850277 7.314509 0.2973137 4.672558e-05 0.6363935 0.1553277 0.2211945 0.1401138 0.4487694 0.4736324 0.2529714 0.4376262 0.6180002 0.3553945 0.5810869 45.33131 2.241573 2.725314 2.534254
2.958527 -9.750719 -5.836767 -5.575372 4.700453 -6.683218 15.7379 5.728202 6.446618 0.7227403 2.804375e-05 0.8762401 0.6225243 0.3024409 0.9383462 0.6955271 0.4678974 0.8019569 0.7463092 0.8858256 0.6536398 0.8412059 41.48038 3.428841 2.169593 2.489819
2.997698 -4.532066 -3.780011 1.897167 6.58113 -4.584511 17.89704 3.296098 7.949434 0.3465415 1.150177e-05 0.9988839 0.1868513 0.5112087 0.9553061 0.4321885 0.522256 0.3691543 0.6112229 0.288659 0.145338 0.7766817 36.09643 3.708591 2.708774 2.313842
2.681056 -5.918608 -3.135004 16.50933 12.11686 -8.268235 11.3999 5.742828 7.770086 0.5419917 3.395524e-05 0.4615532 0.4214606 0.4256878 0.4837282 0.2079094 0.8671857 0.3215374 0.3793012 0.4191756 0.6882274 0.8799256 36.86092 2.450773 2.50971 2.349109
3.304294 -6.700797 -5.334917 -0.04260114 17.65751 -6.29929 8.386247 3.460567 8.473211 0.3791405 3.346114e-05 0.245459 0.7176519 0.1016665 0.634572 0.8989258 0.6973152 0.9785122 0.5971169 0.9988079 0.2105446 0.5775726 37.06448 4.093946 2.667803 2.739772
5.0268 -1.88079 -2.58933 7.25913 4.749316 -1.371484 10.2289 4.265142 8.495147 0.5166288 8.574823e-06 0.9959916 0.1165296 0.8052629 0.9955592 0.3696489 0.4893193 0.5614713 0.266332 0.5642444 0.06820303 0.3215083 42.02065 3.177204 2.578258 2.286244
2.529875 -9.081998 -3.263493 13.93003 13.04118 -8.974285 6.270291 7.35341 6.960398 0.6089602 8.066423e-05 0.7109667 0.6689409 0.4234973 0.9256967 0.8987782 0.06050291 0.1886507 0.1133939 0.6629635 0.4228977 0.7631507 23.94444 3.444404 1.468384 0.553499
2.956719 -8.279131 -4.225866 -2.228068 7.751658 -7.603542 10.23586 4.948871 7.373955 0.597547 2.719769e-05 0.792696 0.3663011 0.7803944 0.4988605 0.01904951 0.6507097 0.627258 0.5744987 0.5854769 0.7343683 0.9690993 41.22649 2.006943 2.574901 2.836262
4.867787 -5.312263 -9.903538 -4.805572 9.836125 -7.534978 18.68278 3.306456 6.626146 0.05055369 5.852903e-05 0.1790028 0.8129824 0.8000642 0.7517885 0.7649329 0.03527337 0.6505715 0.5701638 0.3079068 0.1800882 0.03163656 38.96983 0.8915682 2.850748 7.225255
3.266913 -2.031079 -1.192144 3.426587 6.960061 -4.408328 5.629473 3.762649 7.478237 0.1577827 5.478565e-05 0.4990076 0.5193351 0.4418045 0.4278052 0.8223418 0.4062448 0.7054759 0.4401695 0.814029 0.4959012 0.1452007 41.41515 1.839766 2.731411 3.092765
3.827488 -6.228799 -0.966236 6.743167 19.60071 -0.1977472 16.49359 2.90132 8.682098 0.1625669 4.858176e-05 0.8896133 0.531477 0.01277205 0.9276244 0.554868 0.5446512 0.3724793 0.09867933 0.4643741 0.2910493 0.7391353 46.93293 3.413931 3.089325 2.613925
3.661479 -3.901735 -7.719599 7.088861 11.93988 -0.9782766 9.500874 3.644636 8.012191 0.369439 3.008534e-05 0.655086 0.7828593 0.2680587 0.6388854 0.5331887 0.2656295 0.003990297 0.7154727 0.5072375 0.5476137 0.2334202 39.56894 3.095411 2.397912 5.638719
4.1193 -3.462544 -9.858357 -4.679899 18.34773 -3.647652 13.86074 4.373086 8.599231 0.4093664 6.141141e-05 0.8849317 0.3912926 0.5666258 0.9055275 0.3925008 0.1156125 0.6385372 0.4330405 0.481149 0.5506739 0.8482905 33.90494 3.3074 2.03393 0.1317636
2.990551 -7.398052 -9.224675 -5.39422 2.67223 -9.276911 18.35341 5.557324 5.127061 0.2730244 5.154376e-05 0.771314 0.3651688 0.5114027 0.8031602 0.8684199 0.1818237 0.8020729 0.3531823 0.6304952 0.3661622 0.2012288 35.24674 1.547036 2.453451 3.835375
3.963284 -9.595024 -9.65978 1.91458 -0.8809891 -6.171418 8.231403 5.879759 8.415155 0.5482764 6.527114e-06 0.5322677 0.1176306 0.8255718 0.4719903 0.1682401 0.5486168 0.5241723 0.3342111 0.8423094 0.7658245 0.9305529 39.17175 3.160471 2.593595 5.965616
2.772984 -2.153468 -8.315331 4.822885 5.137909 -9.147169 10.51781 3.60875 7.694097 0.1773338 3.379553e-05 0.7897309 0.01044712 0.9770082 0.3177991 0.1651359 0.9321751 0.1892152 0.06849906 0.6306337 0.6652923 0.884556 44.52439 2.752135 2.933975 2.749788
0.6954221 -5.954802 -1.089555 1.496751 13.23839 -9.042005 6.786566 6.213076 5.995788 0.4538532 5.497732e-05 0.3523509 0.098347 0.3727383 0.2273548 0.1485713 0.1902369 0.4388405 0.252745 0.608879 0.05327571 0.9158905 44.83714 2.275653 3.126317 4.717713
0.7672064 -0.3614485 -3.760026 -2.329325 18.95178 -5.982879 14.92511 5.991011 5.853523 0.5029841 5.446872e-05 0.385415 0.5026426 0.4137869 0.5475097 0.5332855 0.1768117 0.1066151 0.8579689 0.890986 0.2446706 0.4938351 34.4869 1.934423 2.16211 2.13684
2.098961 -8.752778 -5.528812 2.599845 18.64171 -9.648163 9.187359 4.553807 7.561077 0.5117999 6.459326e-05 0.1479428 0.5970224 0.8441142 0.4626735 0.6788972 0.4171598 0.530195 0.3232511 0.5527134 0.2590915 0.2086277 39.7626 3.26573 2.363088 2.187086
2.651881 -5.018988 -2.366538 4.76144 15.53226 -5.010959 19.34323 3.613481 7.443477 0.2196194 8.109103e-05 0.8403986 0.6161321 0.4771621 0.3548917 0.8906131 0.4065016 0.4971977 0.5275229 0.2491093 0.7182853 0.300317 37.12864 5.173677 2.456662 2.219526
2.730955 -0.1367185 -4.697432 6.027563 9.145237 -5.7831 16.23234 3.576945 7.559355 0.6152851 7.786962e-05 0.4614268 0.8961978 0.8147461 0.4879805 0.8408519 0.1862108 0.80996 0.6601274 0.2255058 0.4875875 0.4434058 27.74848 2.560818 2.022231 1.566367
5.703561 -5.000098 -6.333675 -4.866438 2.942568 -6.968499 10.06596 6.663358 6.458286 0.6282119 7.222051e-05 0.2715685 0.5330036 0.4611331 0.6930788 0.8994467 0.9364732 0.4716993 0.6445413 0.9577039 0.8270473 0.4033743 37.7992 4.840426 2.741231 5.264239
