"c[trans]" "c[com]" "c[circ]" "c[rep+]" "c[rep-]" "c[pack]" "com[max]" "rep[max]" "c[3A]" "c[stay]" "scaler" "var c[trans]" " var c[com]" "var c[circ]" "var c[rep+]" "var c[rep-]" "var c[pack]" "var com[max]" "var rep[max]" "var c[3A]" "var c[stay]" "var scaler" "ly gamma shape" "lag" "ly gamma rate" "lag var"
-4.474346 -2.576627 -4.242842 -9.600726 0.6254597 -7.650001 8.101836 12.76457 2.941317 0.9240493 0.000144563 0.01314828 0.5082168 0.4647147 0.2579323 0.2619134 0.5711359 0.852381 0.4676298 0.4306466 0.6367549 0.5176906 36.08707 0.7520595 2.58129 14.0787
-3.901461 -4.465119 -5.76203 -9.750173 0.03794881 -3.536567 4.347049 7.365107 1.910028 0.4239797 0.0009558772 0.509521 0.1589064 0.4994364 0.09915266 0.872332 0.6316991 0.6517477 0.04050189 0.02787078 0.4186375 0.5014373 31.25743 6.192785 2.080286 7.586966
-4.465967 -4.190865 -4.376655 -8.6578 -0.05221126 -8.033991 8.792364 16.79985 1.631287 0.4456946 0.0002125857 0.07577449 0.4853075 0.2718132 0.3495584 0.8555008 0.78344 0.4326893 0.7713232 0.06364878 0.4689709 0.8509424 36.95419 2.282174 2.369142 11.37586
-4.095859 -3.571528 -5.905666 -9.851181 2.409153 -5.991467 7.872912 15.69781 4.674344 0.8357292 0.0003525765 0.1501122 0.4369235 0.3177697 0.2770634 0.4786056 0.8464949 0.01345516 0.7015243 0.8067585 0.4722456 0.7566804 46.62841 3.434489 3.139434 17.40067
-4.407535 -4.402085 -4.693852 -8.729042 1.859191 -2.823875 8.075301 7.792317 3.753335 0.7588727 2.49221e-05 0.7676068 0.1625588 0.7787249 0.5220466 0.7596394 0.762961 0.6998806 0.2695894 0.6442438 0.5021918 0.4949421 43.87017 1.405485 2.861248 10.3938
-4.17103 -3.440891 -4.765697 -8.03537 0.8716766 -2.733021 5.494832 14.91903 3.321074 0.7825421 8.314293e-05 0.3381422 0.4549946 0.2021489 0.06403562 0.7980192 0.07359206 0.002631476 0.4132324 0.4546703 0.1300946 0.6667841 30.5609 5.415855 2.285165 9.201925
-4.182387 -3.000466 -5.361815 -9.86152 1.97615 -5.57393 9.656947 11.74779 2.813824 0.543812 0.0001462064 0.1314454 0.6689896 0.1494789 0.09112301 0.2748613 0.6109897 0.625014 0.2742348 0.4619924 0.5465617 0.7420708 37.36418 4.843413 2.314821 13.74157
-4.280107 -4.982586 -3.303592 -9.472544 2.174785 -9.605488 6.258945 6.683715 6.415466 0.3526721 0.0002661696 0.2561279 0.5695411 0.1524241 0.3954696 0.7453303 0.5289131 0.5277804 0.1056098 0.1573596 0.2591587 0.7883554 39.95037 6.754475 2.870419 10.13379
-4.006416 -3.315696 -6.035379 -8.80934 2.237655 -8.616953 6.93288 4.106252 7.521209 0.670673 0.0005764871 0.1651299 0.8166548 0.03227656 0.7328134 0.5559134 0.2704562 0.1167921 0.1786573 0.9621414 0.2235933 0.956353 36.13421 2.51881 2.401035 11.66073
-4.667317 -4.760321 -0.8651857 -8.938959 2.417784 -3.861078 5.740844 11.9629 2.616302 0.5410655 0.0001880639 0.7879963 0.1827673 0.7456351 0.1875364 0.8188939 0.2544689 0.1081832 0.6160766 0.6987197 0.06891819 0.6757766 33.21896 3.121216 2.537058 12.16011
-4.037241 -6.074975 -4.725268 -8.811451 0.7040742 -7.993385 7.409167 10.46103 6.957349 0.726069 0.0001590056 0.20066 0.2773717 0.3619432 0.9406058 0.9519123 0.933565 0.4366056 0.08619882 0.8203718 0.9797059 0.7521662 26.63388 6.977623 1.861762 13.89844
-4.099537 -3.287418 -5.733558 -9.494472 1.36702 -8.720584 6.986686 13.50661 1.784877 0.5038762 0.0005820509 0.2555999 0.6438972 0.7266693 0.01109195 0.8393697 0.8795139 0.6544896 0.357168 0.3496219 0.05750584 0.6080682 40.48604 5.704674 2.932006 14.64502
-4.17763 -2.71091 -4.900281 -8.781169 0.1711648 -0.3565758 7.55515 16.06566 5.736471 0.814081 0.0001169956 0.2398419 0.8715067 0.9378178 0.01970635 0.7124048 0.6532921 0.4150239 0.3999367 0.4803402 0.2610688 0.964231 35.60752 6.249301 2.315907 12.48679
-4.347536 -4.178245 -5.784804 -9.818841 1.786645 -2.374771 4.865789 14.13185 7.615878 0.8900531 0.000321489 0.7878531 0.6413811 0.2787941 0.4836263 0.8231875 0.1641082 0.9618311 0.6199791 0.8401237 0.9956078 0.4894636 33.22779 0.7449444 2.299481 9.317561
-4.397677 -4.734727 -3.981657 -9.199305 0.4557062 -4.377841 6.3328 4.111255 6.743255 0.5589004 0.0004843287 0.03247196 0.9155384 0.5708193 0.3770691 0.6766074 0.07845875 0.5538393 0.3362204 0.1680079 0.2917351 0.7643774 34.31895 8.10343 2.238924 9.713201
-4.430745 -1.290293 -4.961913 -9.552261 2.029611 -5.333787 7.196661 10.96058 9.51143 0.6354095 0.0003072551 0.6356867 0.1616687 0.748932 0.5318129 0.1964148 0.82141 0.2838816 0.3065105 0.04334676 0.5520809 0.9781757 40.86894 3.418105 2.665554 18.13968
-4.213075 -4.162231 -3.968881 -9.216827 1.601694 -7.703492 7.671176 9.301908 7.272903 0.3176181 0.0002486551 0.2785812 0.3458406 0.184952 0.1826474 0.07188294 0.7960366 0.1462199 0.8546353 0.502573 0.6786999 0.8846458 43.31894 7.13415 3.168242 8.767763
-4.288276 -2.140984 -5.642192 -9.432956 0.01671653 -2.296487 6.476006 11.36033 1.66429 0.1586329 0.0001909823 0.717638 0.2747445 0.669217 0.2575696 0.9178375 0.4660217 0.03064604 0.1311841 0.5031177 0.692162 0.6041286 30.91087 5.305238 2.188271 14.43924
-4.065173 -2.713089 -5.265137 -9.209507 1.808867 -4.336556 6.123179 14.14518 4.6632 0.721984 0.0001521175 0.7276089 0.5371499 0.6142404 0.5132326 0.6961181 0.5668637 0.1460886 0.1484148 0.5320045 0.3811016 0.4161028 30.08353 7.796584 2.111625 15.8514
-4.033315 -4.277427 -4.544128 -8.746141 0.3758453 -4.213712 7.678389 15.49856 1.606306 0.8000838 0.0003066329 0.5733226 0.8258922 0.6052749 0.01562118 0.5102729 0.9657367 0.04569845 0.01201662 0.01153796 0.2128775 0.8329903 33.8693 6.400034 2.494969 13.617
-4.034065 -3.370804 -5.614519 -8.251211 2.350466 -4.49842 6.255376 17.46448 7.442659 0.4864407 0.0005187129 0.3913465 0.4768697 0.4583272 0.5585621 0.1385959 0.8419453 0.5066912 0.45507 0.1483004 0.9857771 0.9807089 31.4955 0.7294846 2.12034 11.55599
-4.52567 -3.235845 -4.361099 -9.623895 0.2398897 -7.148123 8.188283 11.03095 4.289116 0.6939946 0.0002897007 0.340765 0.12859 0.2088508 0.928245 0.4545044 0.3895333 0.854945 0.2160936 0.9452838 0.2228508 0.8996999 37.41588 8.378354 2.616055 12.81419
-4.192859 -5.320036 -4.30299 -9.853658 2.076297 -0.1026417 8.897439 14.96848 1.498041 0.1364781 0.0003527291 0.09272071 0.002182651 0.8580996 0.773733 0.783708 0.8244012 0.6721339 0.2623089 0.01488726 0.845816 0.5041869 33.34042 3.803463 2.509904 11.69428
-4.447464 -1.859201 -5.217564 -8.299451 0.9652381 -4.127258 6.91603 9.957254 4.998705 0.6185993 0.000453131 0.283069 0.6937089 0.8465446 0.1945035 0.4250196 0.9118514 0.8217149 0.822288 0.1065765 0.9329043 0.8807464 43.18706 7.928497 2.709075 12.97369
-3.909307 -4.184231 -5.830192 -8.89566 2.037341 -8.016602 7.344869 5.329991 9.024739 0.3560153 0.0003219699 0.08685676 0.1474977 0.03815319 0.1708989 0.2508777 0.2807175 0.6190663 0.4972684 0.323523 0.5816174 0.7668376 39.57804 1.687041 2.434192 16.75975
-4.180164 -5.462887 -4.373672 -9.153097 0.2124108 -8.923799 9.274025 13.08142 1.312403 0.7322588 0.0003083162 0.00116476 0.8838758 0.720526 0.3327579 0.2911891 0.5337637 0.6274104 0.5851365 0.09147902 0.8879236 0.7245882 47.29223 2.983547 3.142022 14.24388
-3.793808 -2.389474 -5.994189 -9.85741 2.176962 -2.041976 7.560824 13.32658 7.718432 0.4133281 0.0008179595 0.1336119 0.9021541 0.2928151 0.05808601 0.4484142 0.2835743 0.1259487 0.2659621 0.09981376 0.4912652 0.7494432 37.26541 5.4518 2.354853 10.44963
-4.495119 -3.200357 -4.752894 -9.389355 1.607465 -6.493129 5.25873 5.033441 1.391334 0.2220716 5.484807e-05 0.01740704 0.9249449 0.5753328 0.1104682 0.5439364 0.617553 0.9708615 0.9056252 0.7418198 0.3230855 0.9823837 40.79086 8.186303 2.721369 9.389329
-4.157349 -5.128577 -4.358116 -8.996082 1.759737 -0.1166519 6.800679 14.29535 3.160871 0.9061963 0.0001573238 0.3944105 0.3958069 0.5326045 0.0620244 0.3346564 0.5576749 0.8562814 0.2739752 0.5890066 0.6484605 0.5345429 29.13161 0.08190934 2.003694 18.78888
-4.106158 -2.354765 -5.08529 -8.88227 0.8121998 -0.8772514 8.116125 9.53166 2.562814 0.3028945 0.000461388 0.488883 0.4331504 0.1161674 0.3288792 0.8059419 0.4975355 0.1769585 0.6443404 0.5785807 0.7180707 0.8889019 44.97271 4.858626 2.860883 16.07425
-4.323277 -3.018297 -4.781725 -9.370397 0.6176126 -4.007489 9.38039 8.727101 7.181494 0.7867725 0.0003858234 0.3622223 0.2801143 0.2351987 0.1483553 0.8335042 0.2183504 0.141503 0.6741593 0.9663651 0.1879942 0.9441355 33.23413 8.673405 2.268011 11.03172
-4.237925 -5.473917 -4.472797 -9.192823 1.204888 -4.444034 7.866755 9.79477 1.294486 0.587547 0.0006370605 0.121352 0.512469 0.8535774 0.2507022 0.5849551 0.8741124 0.7452744 0.8493129 0.2909737 0.8653181 0.5662834 34.459 9.263692 2.449689 14.48688
-4.660971 -4.509103 -4.284555 -8.901725 0.7949083 -6.07509 7.264438 14.54085 5.168256 0.4969117 0.0003115584 0.3180246 0.7697665 0.6823738 0.5292101 0.5690693 0.5093947 0.4001683 0.9316139 0.2986563 0.73561 0.9209536 41.61296 5.857371 2.822554 12.67428
-4.16732 -0.8232577 -3.289907 -9.645653 1.637885 -6.44561 4.886473 11.75392 5.421887 0.1279794 0.0004745309 0.1908267 0.4965093 0.803672 0.5573533 0.2659374 0.6780127 0.9212171 0.28574 0.3803598 0.7452368 0.8403546 38.72992 1.599559 2.456362 10.69944
-3.979162 -3.739776 -4.749746 -9.732291 1.594055 -6.818079 7.465115 8.516368 9.50466 0.1497714 0.0002906426 0.1823063 0.3927187 0.6276242 0.4818615 0.9656474 0.05992339 0.5289162 0.3243939 0.5022258 0.08585745 0.6821627 43.62062 0.8623276 2.913078 12.07151
